INDEX,LO_MUSLIMS,LO_MIGRANTS,LO_WOMEN,LO_LGBT+,LO_JEWS
431.0,train,train,train,validation,train
432.0,train,train,validation,train,train
433.0,train,train,train,test,train
434.0,train,train,train,test,train
435.0,train,train,train,test,train
436.0,train,train,train,test,train
437.0,train,train,train,test,train
438.0,train,test,train,train,train
439.0,train,test,train,train,train
440.0,train,test,train,train,train
441.0,train,test,validation,train,train
442.0,train,train,train,test,train
443.0,train,train,train,test,train
444.0,train,train,train,train,train
445.0,train,train,train,train,train
446.0,train,train,validation,train,train
447.0,train,test,train,validation,train
449.0,train,test,validation,train,train
453.0,validation,test,train,train,train
454.0,train,test,train,train,validation
455.0,train,test,train,train,validation
457.0,validation,test,train,validation,train
458.0,train,test,train,train,train
461.0,train,test,train,validation,train
462.0,train,test,train,train,train
463.0,validation,test,train,train,train
464.0,validation,train,train,test,train
465.0,train,train,train,test,train
466.0,train,train,train,test,train
467.0,train,train,train,train,train
468.0,train,train,train,train,train
469.0,train,validation,train,train,validation
472.0,train,test,train,train,train
473.0,train,test,train,train,train
474.0,train,test,train,train,validation
477.0,train,test,train,train,train
481.0,train,test,train,train,train
482.0,train,test,train,train,train
484.0,train,test,train,train,train
485.0,train,test,train,train,train
486.0,train,test,train,train,train
488.0,train,test,train,train,train
489.0,train,test,train,train,train
490.0,train,test,train,train,train
491.0,train,test,validation,train,train
492.0,train,test,train,train,train
494.0,train,test,train,train,train
495.0,train,test,validation,train,train
496.0,train,train,train,train,train
497.0,train,train,train,train,train
498.0,train,train,train,train,train
499.0,train,train,validation,train,train
500.0,train,train,validation,train,train
501.0,train,train,train,validation,train
502.0,train,train,train,train,train
503.0,train,train,train,train,train
504.0,train,train,train,validation,train
505.0,train,test,train,train,train
506.0,train,test,train,train,train
511.0,train,train,train,train,train
512.0,train,test,train,validation,train
513.0,train,test,train,validation,train
514.0,train,test,train,train,train
515.0,train,train,train,train,validation
516.0,train,train,train,train,train
517.0,train,train,train,train,train
518.0,train,validation,train,train,train
519.0,train,train,train,train,train
520.0,train,train,train,train,train
521.0,train,train,train,train,train
522.0,train,train,train,train,train
523.0,train,train,train,train,train
524.0,train,train,train,train,train
525.0,train,train,train,train,train
526.0,train,train,train,train,train
527.0,train,train,train,train,train
528.0,train,train,train,train,train
529.0,train,validation,train,test,validation
530.0,train,train,train,test,train
531.0,validation,train,train,test,train
532.0,train,train,train,test,train
533.0,train,train,train,test,train
534.0,train,train,train,test,train
535.0,train,validation,train,test,train
536.0,train,train,train,test,train
537.0,train,train,train,test,train
538.0,train,validation,train,train,train
539.0,train,train,train,train,train
540.0,train,train,train,train,validation
541.0,train,train,train,train,train
542.0,train,test,train,train,train
544.0,train,test,train,train,train
549.0,train,test,train,train,train
551.0,train,test,train,train,train
552.0,train,test,train,train,validation
553.0,train,test,train,train,train
554.0,train,test,train,train,train
555.0,train,test,train,train,validation
556.0,train,train,train,test,train
557.0,train,train,train,test,train
558.0,train,validation,train,test,train
560.0,train,train,train,test,train
561.0,train,train,train,test,train
562.0,train,train,train,test,validation
563.0,train,train,train,test,train
564.0,train,train,validation,test,train
565.0,train,train,train,test,train
566.0,train,train,train,test,train
567.0,validation,train,train,test,train
568.0,train,validation,train,test,train
569.0,train,validation,train,test,train
570.0,train,train,train,test,train
571.0,train,train,train,test,validation
572.0,train,train,train,test,validation
573.0,train,train,train,test,train
574.0,train,train,train,test,train
575.0,train,train,train,test,train
576.0,train,train,train,test,train
577.0,train,train,train,test,train
578.0,train,train,train,test,train
579.0,train,validation,train,test,train
580.0,validation,train,train,test,train
581.0,train,train,train,test,train
582.0,train,train,train,test,validation
583.0,train,train,train,test,train
584.0,train,train,train,test,train
585.0,train,train,train,test,train
586.0,train,validation,train,test,train
587.0,train,train,test,train,train
588.0,train,train,test,train,train
589.0,train,train,test,train,validation
590.0,train,train,test,train,train
592.0,train,train,test,train,train
593.0,train,train,test,train,train
594.0,train,train,test,train,train
595.0,train,validation,test,train,train
596.0,validation,train,test,train,train
597.0,train,train,test,train,train
598.0,train,train,test,train,validation
599.0,train,train,test,train,train
600.0,train,train,test,train,train
601.0,train,train,train,train,train
602.0,train,train,train,train,train
603.0,train,train,train,train,train
604.0,train,validation,train,train,train
605.0,train,train,train,train,train
606.0,validation,train,train,train,train
607.0,train,train,validation,train,validation
608.0,train,train,train,train,train
609.0,train,validation,train,train,train
610.0,train,train,train,train,train
611.0,train,validation,train,train,train
612.0,train,train,train,train,validation
613.0,train,train,train,validation,train
614.0,train,train,train,train,validation
615.0,train,train,train,train,train
616.0,train,train,train,train,train
617.0,train,train,train,train,train
618.0,train,train,train,train,train
619.0,train,train,train,train,train
620.0,train,train,validation,train,train
621.0,validation,train,train,train,train
622.0,train,train,train,train,train
623.0,validation,train,train,train,train
624.0,train,train,train,train,train
625.0,train,train,train,train,train
627.0,train,train,train,train,train
628.0,validation,train,train,train,train
629.0,train,train,train,train,train
630.0,train,train,train,train,train
631.0,train,train,train,train,train
632.0,train,train,train,train,train
633.0,train,train,train,train,train
634.0,train,train,train,train,train
635.0,train,train,train,train,train
636.0,train,train,validation,train,train
637.0,train,train,train,train,train
638.0,train,train,train,train,train
639.0,train,validation,train,train,train
640.0,train,train,train,train,train
641.0,train,train,test,train,train
642.0,train,validation,train,train,validation
643.0,train,train,train,validation,train
645.0,validation,test,train,train,train
647.0,validation,test,train,train,validation
649.0,train,test,train,train,train
650.0,train,test,validation,train,train
652.0,train,test,train,train,train
653.0,train,test,train,train,validation
654.0,train,test,train,train,validation
656.0,train,test,train,train,train
658.0,validation,test,train,train,train
659.0,train,test,train,train,train
660.0,validation,test,train,train,train
662.0,train,train,train,train,train
663.0,train,train,train,validation,train
664.0,train,validation,train,train,train
665.0,train,validation,train,train,train
666.0,train,train,train,train,train
667.0,train,train,train,train,train
668.0,train,train,train,train,train
669.0,train,train,validation,train,train
670.0,train,train,train,train,train
671.0,train,train,validation,train,train
672.0,validation,train,train,train,train
673.0,train,train,train,train,train
674.0,train,train,train,train,train
675.0,validation,train,validation,train,train
676.0,train,train,train,train,train
677.0,train,train,train,train,train
678.0,train,train,train,validation,train
679.0,train,train,train,train,train
680.0,validation,train,train,train,train
681.0,train,train,train,train,train
682.0,train,train,train,train,train
683.0,train,train,train,test,train
684.0,train,train,train,test,train
685.0,train,train,train,test,train
686.0,train,train,train,test,train
687.0,train,train,train,test,train
688.0,train,train,train,test,train
689.0,train,train,train,test,train
690.0,train,train,train,test,train
691.0,train,train,validation,test,train
692.0,train,train,validation,test,train
693.0,train,train,train,test,train
694.0,train,train,train,test,train
695.0,train,train,train,test,train
696.0,train,train,train,test,train
697.0,train,train,train,test,train
698.0,train,train,train,test,train
699.0,train,train,validation,test,train
700.0,train,train,train,test,train
701.0,train,train,validation,test,train
702.0,train,train,train,test,train
703.0,train,train,test,train,train
704.0,train,train,test,train,train
705.0,train,train,test,train,train
706.0,train,train,test,train,train
708.0,train,train,test,train,train
710.0,train,train,test,validation,train
711.0,train,train,test,train,train
712.0,train,train,test,train,validation
713.0,train,train,test,train,train
714.0,train,train,test,train,train
715.0,train,train,test,train,train
716.0,train,train,test,train,train
717.0,train,train,test,train,train
718.0,train,train,train,train,train
719.0,train,train,train,train,train
720.0,train,validation,train,train,train
721.0,validation,train,train,train,train
722.0,validation,train,train,train,train
723.0,train,train,train,train,train
724.0,train,train,train,train,train
725.0,train,train,train,validation,train
726.0,train,train,train,train,train
727.0,train,train,validation,validation,train
728.0,validation,train,train,train,train
729.0,train,train,train,train,train
730.0,train,train,validation,train,train
731.0,test,train,train,validation,train
734.0,test,train,train,train,train
738.0,test,train,train,train,train
739.0,test,train,train,train,train
741.0,test,train,validation,train,train
743.0,test,train,train,train,train
744.0,test,train,train,train,train
747.0,test,train,train,train,train
748.0,test,train,train,train,train
750.0,test,train,train,train,train
751.0,test,train,train,train,validation
761.0,test,train,train,train,train
762.0,test,train,train,train,train
763.0,test,train,train,train,train
764.0,test,train,train,train,train
766.0,test,train,train,train,train
767.0,test,train,train,validation,train
768.0,test,train,train,validation,train
769.0,test,validation,train,train,train
770.0,test,train,train,train,train
771.0,test,train,train,train,train
772.0,test,train,train,train,train
776.0,test,train,train,train,train
777.0,test,train,train,train,validation
779.0,test,train,train,validation,train
780.0,test,train,train,train,train
785.0,test,train,train,validation,train
787.0,test,train,train,train,train
790.0,test,train,train,train,train
791.0,test,train,train,train,train
793.0,test,train,train,train,train
795.0,test,validation,train,train,train
796.0,test,train,train,train,train
797.0,test,train,train,train,train
798.0,test,train,train,train,train
800.0,test,train,train,train,train
801.0,test,train,train,train,train
802.0,test,train,train,validation,train
804.0,test,train,train,train,validation
810.0,test,train,train,train,train
815.0,test,train,train,validation,train
817.0,test,train,train,train,train
818.0,test,train,train,train,train
819.0,test,train,validation,train,train
827.0,test,train,validation,train,train
828.0,test,train,train,validation,train
833.0,test,validation,train,train,train
834.0,test,train,train,train,train
835.0,test,train,train,train,validation
841.0,test,train,train,train,train
844.0,test,train,validation,train,train
848.0,test,train,train,train,train
851.0,test,train,train,train,train
852.0,test,train,train,train,train
853.0,test,train,validation,train,train
854.0,test,train,train,train,train
855.0,test,validation,train,train,train
856.0,test,train,train,train,train
859.0,test,train,train,train,train
860.0,test,train,validation,train,train
861.0,test,train,train,train,train
864.0,test,train,train,train,train
865.0,test,train,train,train,train
867.0,test,train,train,train,validation
870.0,test,train,train,train,train
871.0,test,train,train,train,validation
872.0,test,train,train,train,train
873.0,test,train,train,train,train
874.0,test,train,train,train,train
877.0,test,train,train,train,validation
878.0,test,train,train,train,train
881.0,train,validation,validation,train,train
882.0,validation,train,validation,train,train
883.0,train,validation,train,train,test
884.0,train,train,train,train,test
885.0,train,train,train,train,test
886.0,train,train,train,train,test
887.0,validation,validation,train,train,test
888.0,train,train,train,train,test
889.0,train,train,train,train,test
890.0,train,train,train,train,test
891.0,train,train,train,train,test
892.0,train,train,train,train,test
893.0,train,train,train,train,test
894.0,train,train,train,validation,test
895.0,train,train,train,validation,test
896.0,train,train,train,train,test
897.0,train,train,train,train,test
898.0,train,train,train,train,test
899.0,validation,train,train,train,test
900.0,validation,train,train,train,test
901.0,train,train,train,validation,test
902.0,train,train,train,train,test
903.0,train,validation,train,train,test
904.0,train,validation,train,train,test
905.0,train,train,train,validation,test
906.0,train,train,train,train,test
907.0,train,train,train,train,test
908.0,train,train,train,train,test
909.0,train,train,train,train,test
910.0,train,train,train,validation,test
911.0,train,validation,train,train,test
912.0,train,train,train,test,train
913.0,train,validation,train,test,train
914.0,train,train,train,test,train
915.0,train,train,train,test,train
916.0,train,train,train,test,train
917.0,train,train,train,test,train
918.0,train,train,train,test,train
919.0,train,train,train,test,train
920.0,train,train,train,test,train
921.0,train,train,train,test,train
922.0,train,train,validation,test,train
923.0,train,train,train,test,train
924.0,train,validation,train,test,validation
925.0,train,train,train,test,validation
926.0,train,train,train,test,train
927.0,train,validation,train,test,train
928.0,train,train,train,test,train
937.0,test,train,train,train,train
938.0,test,train,train,train,train
939.0,test,train,train,train,train
942.0,test,validation,train,train,validation
943.0,train,train,test,train,train
944.0,train,train,test,train,validation
945.0,train,train,test,train,train
946.0,train,train,test,train,train
949.0,train,train,test,train,train
950.0,train,train,test,train,train
951.0,train,train,test,validation,train
952.0,train,train,test,validation,train
953.0,train,train,test,train,train
954.0,train,train,test,train,train
955.0,train,train,test,train,train
956.0,validation,train,validation,train,train
957.0,train,train,train,train,validation
958.0,train,train,train,train,train
959.0,train,train,train,train,train
960.0,train,train,validation,train,validation
961.0,train,train,train,train,train
962.0,train,train,train,train,train
963.0,train,train,train,train,train
964.0,train,train,train,train,train
965.0,train,train,train,train,validation
966.0,train,train,train,train,train
967.0,validation,train,train,train,train
968.0,train,train,train,train,train
969.0,train,train,train,train,train
970.0,train,train,train,train,train
971.0,validation,train,train,train,train
972.0,train,test,train,train,train
973.0,train,test,train,train,train
974.0,train,test,train,train,train
977.0,train,test,train,train,train
980.0,train,test,train,train,train
981.0,train,test,train,train,train
983.0,train,train,train,train,test
984.0,train,train,train,train,test
985.0,train,train,train,train,test
986.0,train,train,train,train,test
987.0,train,train,train,train,test
988.0,train,train,train,train,test
989.0,train,train,train,train,test
990.0,train,train,train,train,test
991.0,train,train,train,train,test
992.0,train,train,train,train,test
993.0,train,train,train,train,test
994.0,train,validation,train,train,test
995.0,train,validation,train,train,test
996.0,train,train,validation,train,test
997.0,train,train,train,validation,test
998.0,train,train,train,train,test
999.0,train,train,validation,train,test
1000.0,train,train,train,train,test
1001.0,train,validation,train,test,train
1004.0,test,train,train,train,train
1006.0,test,train,validation,train,train
1008.0,test,train,train,train,train
1010.0,train,validation,test,train,train
1011.0,train,train,test,train,train
1012.0,train,train,test,train,train
1013.0,train,train,test,train,train
1014.0,train,train,test,validation,train
1015.0,validation,validation,test,train,train
1016.0,train,train,train,train,train
1017.0,train,train,train,train,train
1018.0,validation,train,train,validation,train
1019.0,train,train,train,train,train
1020.0,train,train,train,train,train
1021.0,train,train,validation,train,train
1022.0,validation,train,train,train,train
1023.0,train,train,train,train,train
1024.0,train,train,train,train,train
1025.0,train,train,train,train,train
1026.0,train,train,train,train,train
1027.0,train,validation,validation,train,train
1028.0,train,validation,train,train,train
1029.0,validation,train,validation,train,train
1030.0,train,train,train,train,train
1031.0,train,train,train,train,train
1032.0,train,train,train,train,validation
1033.0,train,test,validation,train,validation
1034.0,train,test,train,train,train
1035.0,validation,test,train,train,train
1036.0,train,test,train,train,train
1037.0,validation,test,train,train,train
1038.0,train,test,train,train,train
1040.0,train,train,validation,train,test
1041.0,train,train,train,train,test
1042.0,validation,train,train,train,test
1043.0,train,train,train,train,test
1044.0,train,train,train,train,test
1045.0,train,train,train,train,test
1046.0,train,train,validation,train,test
1047.0,train,train,train,train,test
1048.0,validation,train,train,test,validation
1049.0,train,train,train,test,train
1050.0,train,train,train,test,train
1051.0,train,train,train,test,train
1052.0,train,train,validation,test,validation
1053.0,train,train,train,test,train
1055.0,validation,train,train,test,train
1057.0,train,train,train,test,train
1058.0,train,train,train,test,train
1059.0,train,train,train,test,validation
1062.0,test,train,train,train,train
1064.0,train,train,test,train,train
1065.0,train,train,test,validation,train
1067.0,validation,train,test,train,train
1068.0,train,train,test,train,train
1069.0,train,train,test,validation,train
1070.0,train,train,test,train,train
1071.0,train,train,test,train,train
1072.0,train,train,test,train,train
1073.0,train,train,test,validation,train
1074.0,train,train,test,train,train
1075.0,train,train,train,train,validation
1076.0,train,train,train,train,validation
1077.0,train,train,train,train,train
1078.0,train,train,train,train,train
1079.0,validation,train,train,train,train
1080.0,train,train,validation,validation,train
1081.0,train,validation,train,train,train
1082.0,train,train,train,train,train
1083.0,train,train,train,train,train
1084.0,train,train,train,train,train
1085.0,train,train,train,train,train
1086.0,train,train,train,validation,train
1087.0,validation,train,train,train,train
1088.0,train,train,validation,validation,train
1089.0,train,train,train,train,train
1090.0,train,train,train,train,train
1091.0,train,train,train,train,train
1092.0,train,validation,train,validation,train
1093.0,train,train,train,train,train
1094.0,train,test,train,train,train
1095.0,train,test,train,train,train
1096.0,train,test,train,train,train
1099.0,validation,test,train,train,train
1101.0,train,test,validation,validation,train
1102.0,train,test,train,train,train
1104.0,train,test,train,train,train
1105.0,train,test,train,train,train
1108.0,train,train,train,train,test
1109.0,train,train,train,train,test
1110.0,validation,validation,train,validation,test
1111.0,train,train,validation,train,test
1112.0,train,train,train,train,test
1113.0,validation,train,train,train,test
1114.0,validation,train,validation,train,test
1115.0,train,train,validation,train,test
1116.0,validation,train,train,validation,test
1117.0,train,train,validation,train,test
1118.0,train,train,train,train,test
1119.0,train,train,train,train,test
1120.0,validation,train,train,train,test
1121.0,train,train,validation,train,test
1122.0,train,train,train,train,test
1123.0,train,train,train,train,test
1124.0,train,train,train,train,test
1125.0,train,train,train,train,test
1126.0,train,train,train,train,test
1127.0,train,train,train,train,test
1128.0,train,train,train,validation,train
1129.0,train,train,train,test,train
1130.0,train,train,train,test,train
1131.0,train,train,train,test,train
1132.0,train,train,train,test,train
1133.0,train,train,train,test,train
1134.0,train,train,train,test,train
1135.0,train,train,train,test,train
1136.0,train,train,train,test,train
1137.0,validation,train,train,test,train
1138.0,validation,train,validation,test,train
1139.0,train,train,validation,test,train
1140.0,train,train,train,test,train
1141.0,train,validation,train,test,train
1142.0,train,train,train,test,validation
1143.0,train,train,train,test,train
1144.0,test,validation,train,train,train
1145.0,test,train,train,train,train
1149.0,test,train,train,train,train
1150.0,test,train,train,train,train
1151.0,test,validation,train,train,train
1152.0,test,train,train,train,train
1155.0,test,train,train,train,train
1157.0,test,train,train,validation,train
1158.0,test,train,train,train,train
1160.0,test,train,train,train,validation
1161.0,test,train,train,train,train
1163.0,test,validation,validation,train,train
1166.0,test,train,train,train,train
1171.0,test,train,train,train,validation
1173.0,test,train,train,train,train
1175.0,test,train,train,train,train
1177.0,test,train,train,train,train
1178.0,test,validation,train,validation,train
1179.0,test,train,train,train,train
1180.0,test,validation,train,train,train
1184.0,test,train,train,train,train
1185.0,test,train,train,train,train
1186.0,test,train,train,train,train
1189.0,test,validation,train,train,train
1192.0,test,train,train,validation,train
1193.0,test,train,train,train,train
1194.0,test,train,train,train,train
1196.0,test,train,validation,validation,train
1199.0,test,train,train,validation,train
1204.0,test,validation,train,train,train
1206.0,test,train,train,validation,train
1211.0,test,train,train,train,train
1214.0,test,train,train,train,train
1216.0,test,train,train,train,train
1217.0,test,train,train,validation,train
1219.0,train,validation,test,train,train
1220.0,train,train,test,train,train
1221.0,train,train,test,train,train
1222.0,train,train,test,train,train
1223.0,train,train,test,train,train
1224.0,train,train,test,train,train
1225.0,train,validation,test,train,train
1226.0,train,train,test,train,train
1227.0,train,train,test,train,train
1228.0,train,train,test,train,validation
1229.0,validation,train,test,train,train
1230.0,train,train,test,train,train
