V,HS_ed,CN_ed,TARGET,SOURCE_ANNOTATOR,index,LO_MUSLIMS,LO_MIGRANTS,LO_WOMEN,LO_LGBT+,LO_JEWS
V1,Since when has abusing the anus as a sex organ been a monumental achievement? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),To recognise and accept practices that we don't take part in isn't state inforcement. It's just stating facts and stopping percecusion of people who have different preferences.   ,LGBT+,SHUK_ORIGINAL,27.0,train,train,train,test,train
V1,"This is why women do not belong in politics, if a man complained like them, hed be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.","to have a more positive political environment, inclusivity and representation of all types of people is necessary, therefore women do belong in politics",WOMEN,SHUK_ORIGINAL,28.0,train,train,test,validation,train
V1,Pakistan: 202 Million  Nigeria: 193 Million  Bangladesh: 165 Million  Ethiopia: 107 Million  Congo: 84 Million  Great Britain: 66 Million    'Ethnic minorities' Dont make me fucking laugh!,"this is correct, but their percentage of the population within Great Britain makes them a minority ",MIGRANTS,SHUK_ORIGINAL,29.0,train,test,train,train,train
V1,"UK Education Secretary: All children from the age of 4 will have mandatory lessons on same sex relationships.  This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","This is about teaching children about the world they live in, and helping them get on with others.",LGBT+,SHUK_ORIGINAL,30.0,train,train,train,test,train
V1,Pakistan: 202 Million  Nigeria: 193 Million  Bangladesh: 165 Million  Ethiopia: 107 Million  Congo: 84 Million  Great Britain: 66 Million    'Ethnic minorities' Dont make me fucking laugh!,"These groups tend to be a minority in Britian. Either way, everyone deserves respect and protection and human rights. ",MIGRANTS,SHUK_ORIGINAL,31.0,excessive,excessive,excessive,excessive,excessive
V1,Pakistan: 202 Million  Nigeria: 193 Million  Bangladesh: 165 Million  Ethiopia: 107 Million  Congo: 84 Million  Great Britain: 66 Million    'Ethnic minorities' Dont make me fucking laugh!,"These are numbers of residents in countries, not ethnic grouping.",MIGRANTS,SHUK_ORIGINAL,32.0,train,test,train,train,train
V1,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist.  (Caption to a photo of a homeless person sleeping on a part bench)",There are more than enough empty homes in this country right now to house every single homeless person. There is also more than enough wealth in this country to build new homes. We CAN house our own people but the government chooses not to. Homelessness is an issue of wealth inequality not migration  if you genuinely care about poverty issues like homelessness you need to be questioning power structures and wealth distribution. ,MIGRANTS,SHUK_ORIGINAL,33.0,excessive,excessive,excessive,excessive,excessive
V1,"When you animals have ruined the world and are eating each other, because thats all you are good for, well still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.",The womenfolk appear to have wisdom and not a little heart.,WOMEN,SHUK_ORIGINAL,34.0,train,train,test,train,train
V1,Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"The ultra rich people in this industry - Jewish or not - have the power and influence. Not sure where you got your facts from regarding Jewish people ""controlling"" Hollywood. ",JEWS,SHUK_ORIGINAL,36.0,train,train,train,train,test
V1,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,"The term 'feminism' is fighting for equal rights of ALL sexeS, you may find that you too identify as a feminist. Maybe try some of the following sites to find out more on how the feminist movement can benefit you: feminist.com, read more on the 'man up campaign' on Mind.org.uk",WOMEN,SHUK_ORIGINAL,37.0,excessive,excessive,excessive,excessive,excessive
V1,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",The patriarchy is not man's friend. Boys and men are told to be tough and to bear many burdens without being able to show any emotions or to talk about their struggles. This has led to great levels of suicide amoungst men. It is a question of survival and happiness to accept our differences and similarities and to work together. ,WOMEN,SHUK_ORIGINAL,38.0,train,train,test,train,train
V1,The Nazis sucked at killing Jews& everywhere you look theres a holocaust survivor.,The Nazi killing machine was all too efficient. Survivors lost so much and braved terror and cruelty. They should be celebrated.,JEWS,SHUK_ORIGINAL,39.0,train,train,validation,train,test
V1,The Nazis sucked at killing Jews& everywhere you look theres a holocaust survivor.,The murder of around 6 million Jews shows the scale of the genocide. This is 6 million more than should have ever happened.,JEWS,SHUK_ORIGINAL,40.0,validation,train,train,train,test
V1,"The Holocaust is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","The Jews suffered horribly in the Holocaust, as did many other groups.Reparation is a small step to enable suffering people to rebuild their lives. Common humanity, surely?",JEWS,SHUK_ORIGINAL,41.0,train,train,train,train,test
V1,The Nazis sucked at killing Jews& everywhere you look theres a holocaust survivor.,"The holocaust was hugely tragic, and we are blessed to have holocaust survivors to hear from. They tell an important story that we must learn from. ",JEWS,SHUK_ORIGINAL,43.0,train,validation,train,train,test
V1,"Race is a social construct, and if you see any difference between these two women, its because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]","the difference between these two individuals has nothing to do with race or gender, it is individual lifestyle and cultural difference.",POC,SHUK_ORIGINAL,44.0,train,train,train,validation,train
V1,"UK Education Secretary: All children from the age of 4 will have mandatory lessons on same sex relationships.  This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","Teaching children that there are different ways to be happy, and that their feelings are valid is something I totally agree with.",LGBT+,SHUK_ORIGINAL,45.0,train,train,train,test,train
V1,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Soft and emotional? You must have never heard of the likes of Rosa Parks, Emmeline Pankhurst and Florence Nightingale, then. ",WOMEN,SHUK_ORIGINAL,46.0,train,train,test,train,train
V1,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Soft and emotinal' are personality traits, may I sugesst you read up on the #HeforShe movement that works for equal rights for men and women, and aims to stop the stigma around men showing emotions.",WOMEN,SHUK_ORIGINAL,47.0,train,train,test,train,train
V1,Pakistan: 202 Million  Nigeria: 193 Million  Bangladesh: 165 Million  Ethiopia: 107 Million  Congo: 84 Million  Great Britain: 66 Million    'Ethnic minorities' Dont make me fucking laugh!,Since when was Great Britain an ethnic group? Or Pakistan for that matter. Or Nigeria...etc,MIGRANTS,SHUK_ORIGINAL,48.0,train,test,train,train,validation
V1,"UK Education Secretary: All children from the age of 4 will have mandatory lessons on same sex relationships.  This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","Same sex relationship happen within many species of animals and we are no exception. Might as well inform people about things that happen in nature - that's the point of education, to learn about the world. ",LGBT+,SHUK_ORIGINAL,49.0,train,train,train,test,train
V1,Since when has abusing the anus as a sex organ been a monumental achievement? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),Respect of people who are different from us and not harming anyone with their private activities is a monumental achievement. ,LGBT+,SHUK_ORIGINAL,51.0,train,train,train,test,train
V1,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,Replaced by what exactly? I think our population will be fine. ,WOMEN,SHUK_ORIGINAL,52.0,validation,train,test,train,train
V1,"The Holocaust is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","Reperation is a historical process and happened in many contexts. After WW1 when Europe wanted massive reperations from Germany for example? It's a normal and established process, and when so many people have lost their lives it makes perfect sense. ",JEWS,SHUK_ORIGINAL,53.0,train,train,train,train,test
V1,"The Holocaust is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.",reparitions for an attempt at ethnic cleansing on a huge scale seems reasonable to me ,JEWS,SHUK_ORIGINAL,54.0,train,train,validation,train,test
V1,"Juice (Jews) are worse that nukes. Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.",Really? I'd sit with a group of Jews any day.,JEWS,SHUK_ORIGINAL,55.0,train,validation,train,train,test
V1,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist.  (Caption to a photo of a homeless person sleeping on a part bench)","perhaps the problem isnt immigration, but rather the lack of affordable housing. like you said, this is an area of houses over £1m! ",MIGRANTS,SHUK_ORIGINAL,56.0,train,test,train,train,train
V1,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Perhaps the nations that you cite are more accepting of other nationalities.,other,SHUK_ORIGINAL,57.0,train,train,train,train,train
V1,Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,"People who vote for parties which target the most powerful are often mostly concerned about making it financially until the next month. Redistributing wealth from people who have way too much money seems fair, not threatening. ",JEWS,SHUK_ORIGINAL,58.0,train,train,train,validation,test
V1,I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),"People reading stories to children, teaching them about the world?",LGBT+,SHUK_ORIGINAL,59.0,train,train,train,test,train
V1,"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",Or maybe they want their culture to survive,JEWS,SHUK_ORIGINAL,60.0,train,train,train,train,test
V1,I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),"Not sure how reading a book is a problem, sounds pretty nice for the kids. ",LGBT+,SHUK_ORIGINAL,61.0,train,train,train,test,train
V1,"Juice (Jews) are worse that nukes. Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.","Not quite sure I agree, I have never felt threatened by a Jewish person, whereas I'm pretty scraed of nuclear war. ",JEWS,SHUK_ORIGINAL,62.0,train,train,train,train,test
V1,Since when has abusing the anus as a sex organ been a monumental achievement? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),No-one is forcing anyone into practices they don't want to take part in here.,LGBT+,SHUK_ORIGINAL,63.0,train,train,train,test,train
V1,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,"My whole family voted against Brexit, and we are not Jewish",JEWS,SHUK_ORIGINAL,64.0,train,train,validation,train,test
V1,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","My best friend is Jewish, she volunteers to help woman, disadvantages children, and her whole family work to make the UK a better place.",JEWS,SHUK_ORIGINAL,65.0,train,train,train,train,test
V1,The only nation Jews dont hate is their own and they are flooding Europe with Africans and Muslims.,"My best friend is Jewish, she volunteers to help woman, disadvantages children, and her whole family work to make the UK a better place.",JEWS,SHUK_ORIGINAL,66.0,train,train,train,train,test
V1,Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,Minority voices are notoriously ignored. ,JEWS,SHUK_ORIGINAL,67.0,train,train,train,train,test
V1,Whats the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,Milking it? Millions of people suffered during this tragedy,JEWS,SHUK_ORIGINAL,68.0,train,train,train,train,test
V1,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"maybe the reason for such a rise in UK benefit claimants  is due to unequal opportunities and lack of job opportunities , and this goes for everyone, not just 'foreigners'. ",MIGRANTS,SHUK_ORIGINAL,69.0,excessive,excessive,excessive,excessive,excessive
V1,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.",It is possible to love one's country and one's religious home. The two are not exclusive.,JEWS,SHUK_ORIGINAL,73.0,train,train,train,train,test
V1,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"It is more than 'foreigners' who are asking for help, White British families are the most likely out of all ethnic groups to receive state support, with 57% doing so.",MIGRANTS,SHUK_ORIGINAL,74.0,train,test,train,train,train
V1,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist.  (Caption to a photo of a homeless person sleeping on a part bench)","Is it due to immigration, or the lack of affordable housing, unemployment, poverty, mental illness and the lack of needed services, substance abuse and the lack of services? Do I need to go on?",MIGRANTS,SHUK_ORIGINAL,75.0,excessive,excessive,excessive,excessive,excessive
V1,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.",If you personally had some distant Spanish or Jewish heritage and you identified more as American surely that doesn't mean that you can't be an American patriot? ,JEWS,SHUK_ORIGINAL,76.0,train,train,train,train,test
V1,Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"If the Jewish community was controlling these kind of industries, they would surely make a high priority of Jewish concerns? But there's so many anti-Israel narratives in the American media. So this doesn't make sense.",JEWS,SHUK_ORIGINAL,77.0,train,train,train,train,test
V1,"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",I'd suggest a walk down West London where areas like St John's Wood are very rich with mostly white people living there. ,JEWS,SHUK_ORIGINAL,79.0,train,train,train,train,test
V1,The only nation Jews dont hate is their own and they are flooding Europe with Africans and Muslims.,I wonder how you account for refugees who are fleeing wars and a lack of security for their themselves and their families. Wars which are often directly or indirectly caused by Western powers who created long lasting problems abroad. ,JEWS,SHUK_ORIGINAL,80.0,train,train,train,train,test
V1,Must be hard being gay. They have to do everything we do but also find the time to molest children.,I think you'll find that child molestors can have any sexual orientations and that the majority of straight or gay people are not child molestors. This is an issue that can affect anyone regardless of sexual orientations. ,LGBT+,SHUK_ORIGINAL,81.0,train,train,train,test,validation
V1,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,I didn't want Brexit either and I'm not a Jew.,JEWS,SHUK_ORIGINAL,82.0,train,train,train,train,test
V1,I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),"I can't say I've ever come across 'fag pride'. Gay pride or LGBT+ pride, perhaps? ",LGBT+,SHUK_ORIGINAL,83.0,train,train,train,test,train
V1,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"I can understand that youre frustrated  austerity has hit so many of us horribly, but your blame is directed to the wrong people. Migrants are statistically less likely to claim benefits, plus theyre not easy to access anyway. Most people receiving benefits in the UK are actually in work, direct your anger for better pay and conditions!",MIGRANTS,SHUK_ORIGINAL,84.0,train,test,train,train,train
V1,The only nation Jews dont hate is their own and they are flooding Europe with Africans and Muslims.,"I belonged to Europe, to Germany, and I thanked my creator that I was German' - Victor Klemperer speaking of his experience in WW1, explaining his dislike of Russian Jews.",JEWS,SHUK_ORIGINAL,85.0,train,train,train,train,test
V1,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist.  (Caption to a photo of a homeless person sleeping on a part bench)",How many people walk by and do nothing?,MIGRANTS,SHUK_ORIGINAL,86.0,train,test,train,train,train
V1,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist.  (Caption to a photo of a homeless person sleeping on a part bench)",Homelessness is a very complex issue with no simple answers. ,MIGRANTS,SHUK_ORIGINAL,87.0,train,test,train,train,train
V1,"This is why women do not belong in politics, if a man complained like them, hed be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.",Gender equality is the key to a productive household as well as economy overall. To restrict women from entering all spheres of society is to restrict the maximimum potentially of any country. ,WOMEN,SHUK_ORIGINAL,89.0,train,train,test,train,train
V1,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,"Feminism is about equal rights between men and women, and to challenges socially imposed burdens from both men and women.  ",WOMEN,SHUK_ORIGINAL,90.0,train,train,test,train,train
V1,What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,Explain what exactly?,JEWS,SHUK_ORIGINAL,91.0,train,train,train,train,test
V1,Pakistan: 202 Million  Nigeria: 193 Million  Bangladesh: 165 Million  Ethiopia: 107 Million  Congo: 84 Million  Great Britain: 66 Million    'Ethnic minorities' Dont make me fucking laugh!,"Ethnic minorities is a term used within a specific context, here for exmaple, in the UK, people from these countries are minorities. ",MIGRANTS,SHUK_ORIGINAL,94.0,validation,test,train,train,train
V1,"This is why women do not belong in politics, if a man complained like them, hed be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.",Equality means that a man would not be called a coward. Women have plenty to offer the world of politics and as much a right to take part as anyone else.,WOMEN,SHUK_ORIGINAL,95.0,train,train,test,train,train
V1,"The Jews did:  USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Do you have any proof? ,JEWS,SHUK_ORIGINAL,96.0,train,train,train,train,test
V1,"The Jews did:  USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Do you have any proof of this?,JEWS,SHUK_ORIGINAL,97.0,validation,train,train,train,test
V1,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Compassion and empathy are valuable assets in any civilisation.,WOMEN,SHUK_ORIGINAL,98.0,train,train,test,train,train
V1,Must be hard being gay. They have to do everything we do but also find the time to molest children.,"Child molesters are not all gay, just as men are not all rapists.",LGBT+,SHUK_ORIGINAL,99.0,train,train,train,test,validation
V1,Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"Censure and banning protect the vulnerable from seeing harmful content. Not such a  bad thing, whoever does it.",JEWS,SHUK_ORIGINAL,100.0,train,train,train,train,test
V1,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,"Brexit will be damaging for many of us, plenty of people oppose it. ",JEWS,SHUK_ORIGINAL,101.0,train,train,train,train,test
V1,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,Brexit is a good thing then? ,JEWS,SHUK_ORIGINAL,102.0,train,train,train,train,test
V1,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","both men and women can possess characteristics like 'soft' and 'emotional', they are not determined by gender, nor are they a negative thing, maybe we could all use a bit more compassion and 'emotion' in today's world.    ",WOMEN,SHUK_ORIGINAL,103.0,train,validation,test,train,train
V1,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"Benefits are a thing created to help everyone, every ethnicity can claim them in order to live off it isn't a thing specifically to 'foreigners' ",MIGRANTS,SHUK_ORIGINAL,104.0,train,test,train,train,train
V1,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist.  (Caption to a photo of a homeless person sleeping on a part bench)","Asylum seekers and refugees deserve our compassion, not condemnation.",MIGRANTS,SHUK_ORIGINAL,105.0,train,test,train,train,train
V1,Whats the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,Are you aware of all the genocides that have happened since the Holocaust?. ,JEWS,SHUK_ORIGINAL,106.0,train,train,train,validation,test
V1,Whats the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,"And yet genocdides have happened across the world since. Perhaps, the Holocaust would be forgotten if it's lessons had been learned but they haven't.",JEWS,SHUK_ORIGINAL,109.0,train,train,train,train,test
V1,The juice (jews) are the reason why America is forced to take in whatever refuse knocks on the door. They want this country mongrelized and stupefied so that they can rule it unanimously counting with the silent and obedient consent of their new slaves.,2018 saw America take in the fewest refugees in the last 40 years.,JEWS,SHUK_ORIGINAL,110.0,validation,validation,train,train,test
V1,"This is why women do not belong in politics, if a man complained like them, hed be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.",(If we analyse the current political state of Britain at the moment it doesn't prove much of a mans ability to run the country smoothly. ) -too harsh but couldn't think of much else. Poltics is hard for all genders. ,WOMEN,SHUK_ORIGINAL,111.0,validation,train,test,validation,train
V1,"Juice (Jews) are worse that nukes. Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.",So you are saying that you'd rather be nuked than living with them?,JEWS,SHUK_PARAPHRASE,113.0,validation,train,train,train,test
V1,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,Are you worried about government expenditure? Because it has been shown that migration reduces pressure on government debt overtime: migrants are more likely to be workers that contribute to our economy with  taxes. ,MIGRANTS,SHUK_PARAPHRASE,114.0,excessive,excessive,excessive,excessive,excessive
V1,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","You can have parents from all over the world, and still be a patriot for our country.",JEWS,SHUK_PARAPHRASE,115.0,train,train,train,train,test
V1,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",I think that the main cause of radicalisation and extremism is colonialism and the many  Western military interventions abroad.,JEWS,SHUK_PARAPHRASE,116.0,train,train,validation,train,test
V1,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Would you say the same thing to  your mother, or to the nurse who treat you in hospital or the teacher who taught you in school? ",WOMEN,SHUK_PARAPHRASE,117.0,train,train,test,train,train
V1,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"Do you know how much money ""foreigners"" are giving the UK in terms of taxes? If you were to know then you would see how much we have to thank them for.  Maybe it would be better to focus on stopping tax evasion.  ",MIGRANTS,SHUK_PARAPHRASE,118.0,train,test,train,train,train
V1,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.",So useless that it also takes a women to generate a men... right? ,WOMEN,SHUK_PARAPHRASE,119.0,train,train,test,train,train
V1,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Brutality and cruelty are much better than softeness and emotions then? If we keep on reasoning like this we will perpetuate socially constructed gender norms which oppress both men and women. ,WOMEN,SHUK_PARAPHRASE,120.0,train,train,test,train,train
